n_restarts,seed,nll,sigma2,ls_lvef,ls_egfr,ls_age,ls_baseline_k,ls_dm_fraction,ls_mr_occupancy,ls_adherence_proxy
5,0,-3.574716,0.015405,1719.468813,9197.299769,22026.465795,22026.465795,12529.887098,14049.728394,0.360557
5,1,-3.574716,0.015406,1236.714775,11802.560462,6045.676054,22026.465795,22026.465795,3920.124669,0.360531
5,2,-3.574716,0.015407,510.896374,22026.465795,11078.878281,6726.344822,13900.554163,16220.749120,0.360549
5,3,-3.574716,0.015406,2464.913091,12617.501468,22026.465795,18964.876149,22026.465795,22026.465795,0.360527
5,4,-3.574716,0.015407,1266.618526,22026.465795,22026.465795,22026.465795,4673.391912,6613.069836,0.360516
5,5,-3.574716,0.015406,22026.465795,22026.465795,11784.154862,22026.465795,21961.633384,7910.187956,0.360466
5,6,-3.574716,0.015406,7300.443640,22026.465795,22026.465795,22026.465795,7071.150098,22026.465795,0.360528
5,7,-3.574716,0.015407,510.896374,22026.465795,11078.878281,6726.344822,13900.554163,16220.749120,0.360549
5,8,-3.574716,0.015404,1334.295743,4417.214431,8758.614491,2754.079131,5600.801366,20192.927468,0.360439
5,9,-3.574716,0.015406,2360.302082,22026.465795,18896.433196,8009.052583,22026.465795,22026.079085,0.360534
20,0,-3.574716,0.015406,19292.907813,22026.465795,22026.465795,12954.582594,8176.187068,22026.465795,0.360529
20,1,-3.574716,0.015406,22026.465795,22026.465795,22026.465795,20195.448558,20600.473418,8584.692935,0.360503
20,2,-3.574716,0.015404,22026.465795,22026.388497,22026.465795,4110.284697,8252.246117,22026.465795,0.360546
20,3,-3.574716,0.015406,2464.913091,12617.501468,22026.465795,18964.876149,22026.465795,22026.465795,0.360527
20,4,-3.574716,0.015406,1823.279752,18595.920226,9595.185180,22026.465795,11521.820005,22026.465795,0.360532
20,5,-3.574716,0.015406,22026.465795,22026.465795,11784.154862,22026.465795,21961.633384,7910.187956,0.360466
20,6,-3.574716,0.015406,6465.678315,22026.465795,11548.647463,21142.946570,12130.097438,16959.399150,0.360530
20,7,-3.574716,0.015405,22026.465795,22026.465795,22026.465795,21967.973035,3971.531811,22026.465795,0.360572
20,8,-3.574716,0.015407,785.469939,14216.555545,5953.259529,22026.465795,19467.503971,22026.465795,0.360559
20,9,-3.574716,0.015406,2360.302082,22026.465795,18896.433196,8009.052583,22026.465795,22026.079085,0.360534
50,0,-3.574716,0.015406,19292.907813,22026.465795,22026.465795,12954.582594,8176.187068,22026.465795,0.360529
50,1,-3.574716,0.015406,22026.465795,22026.465795,22026.465795,7951.651558,22026.240139,22026.240139,0.360528
50,2,-3.574716,0.015407,22026.465795,22026.465795,22026.465795,17245.167579,4913.230679,22026.465795,0.360548
50,3,-3.574716,0.015406,10304.466004,22026.465795,22026.465795,22026.465795,22026.465795,22026.465795,0.360532
50,4,-3.574716,0.015406,2855.764707,22026.465795,22026.465795,11758.683877,16955.470690,15284.160016,0.360525
50,5,-3.574716,0.015406,5100.915108,22026.465795,22026.465795,22026.465795,16886.113706,22026.465795,0.360529
50,6,-3.574716,0.015406,22026.465795,22026.465795,22026.465795,22026.465795,22026.465795,22026.465795,0.360527
50,7,-3.574716,0.015406,2206.711820,9569.542153,7758.706975,22026.454516,6219.041344,13637.311975,0.360508
50,8,-3.574716,0.015406,22026.465795,22026.465795,22026.465795,22026.465795,22026.465795,22026.465795,0.360528
50,9,-3.574716,0.015406,3561.388549,13528.295519,20439.312086,15151.101761,20244.468750,22026.465795,0.360527
